 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.525096e+01 1.000000e-16 1.000000e-16 4.994784e-03 0.000000e+00 -3.154200e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.027418e-01 1.655363e-01 5.035754e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525201e+01 1.000000e-16 1.000000e-16 5.077747e-03 0.000000e+00 -3.155847e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.029680e-01 1.117866e-01 5.035309e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525300e+01 1.000000e-16 1.000000e-16 5.032212e-03 0.000000e+00 -3.154947e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.030330e-01 1.127242e-01 5.036006e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525402e+01 1.000000e-16 1.000000e-16 5.036266e-03 0.000000e+00 -3.155027e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.032403e-01 1.112820e-01 5.038010e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525501e+01 1.000000e-16 1.000000e-16 5.090382e-03 0.000000e+00 -3.156096e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.030234e-01 9.120475e-02 5.034826e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525600e+01 1.000000e-16 1.000000e-16 4.951157e-03 0.000000e+00 -3.153323e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.030157e-01 9.704783e-02 5.035043e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525699e+01 1.000000e-16 1.000000e-16 4.963554e-03 0.000000e+00 -3.153573e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.028534e-01 1.164469e-01 5.034397e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525803e+01 1.000000e-16 1.000000e-16 5.147360e-03 0.000000e+00 -3.157209e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.031149e-01 1.129597e-01 5.036838e-01 0.000000e+00 0.000000e+00
  1   1   1 1.525903e+01 1.000000e-16 1.000000e-16 5.175252e-03 0.000000e+00 -3.157749e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.031386e-01 9.670676e-02 5.036256e-01 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
