Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef
1	1	1	15.249944058160981	1e-16	1e-16	0.005022915545850992	0.0	-31.547616760061395
1	1	1	15.250905438046981	1e-16	1e-16	0.004997883457690477	0.0	-31.54262072327447
1	1	1	15.251980066128464	1e-16	1e-16	0.004967129789292812	0.0	-31.53644837502508
1	1	1	15.252998275737731	1e-16	1e-16	0.005109692923724651	0.0	-31.564745518127967
1	1	1	15.253988333206545	1e-16	1e-16	0.005109692923724651	0.0	-31.564745518127967
1	1	1	15.255006813274388	1e-16	1e-16	0.0049490113742649555	0.0	-31.53279404318531
1	1	1	15.255997133741271	1e-16	1e-16	0.005062012933194637	0.0	-31.55537042599972
1	1	1	15.257015884375159	1e-16	1e-16	0.005062012933194637	0.0	-31.55537042599972
1	1	1	15.257978163756611	1e-16	1e-16	0.005068926606327295	0.0	-31.556735289382615
1	1	1	15.25899718125101	1e-16	1e-16	0.005006942432373762	0.0	-31.544431644775457
