Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,1,8.900040731106687,0,0,0,0,0,655.7254855638228,0,6562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00723648,1.4293752354695897,0.0,1321.6435952555805,1340.7675829345933
1,1,1,8.905034041038856,0,0,0,0,0,623.0191687580126,0,6235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00771776,1.2904728440303297,0.0,1265.423376608095,1281.9620249515394
1,1,1,8.910042593895671,0,0,0,0,0,621.3438640133015,0,6218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00734112,1.5619797319350244,0.0,1282.3586051596492,1302.6961514059412
1,1,1,8.915028423176375,0,0,0,0,0,592.154115912271,0,5871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91464864,1.580546176571303,0.0,1255.4151389473748,1275.5760628804985
1,1,1,8.920039006433637,0,0,0,0,0,587.8072535172689,0,5820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9012048,1.5888522980556965,0.0,1259.7456826668204,1280.068455940392
