Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef	KETEK-If	KETEK-FLUOR	KETEK-ROI_0[c/s]	KETEK-ROI_1[c/s]	KETEK-ROI_2[c/s]	KETEK-ROI_3[c/s]	KETEK-ROI_4[c/s]	KETEK-ROI_5[c/s]	KETEK-ROI_6[c/s]	KETEK-ROI_7[c/s]	KETEK-e-time[sec]	KETEK-DEADTIME[%]	KETEK-INT_TIME[sec]	KETEK-OCR	KETEK-ICR
1	1	1	15.249887510209811	1e-16	1e-16	0.005114460829645395	0.0	-31.5656781931212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92344224	0.4451710634668918	0.92757152	0.0	1.0829047629443505
1	1	1	15.260016336028675	1e-16	1e-16	0.00508513767272234	0.0	-31.559928312338293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00654112	0.1025829627801666	1.00757472	0.0	1.9870027763992393
1	1	1	15.270045342731892	1e-16	1e-16	0.005121136084198952	0.0	-31.566982514804852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0064304	0.11804451964741951	1.00761984	0.0	0.0
1	1	1	15.280030879353738	1e-16	1e-16	0.005252494476735592	0.0	-31.592309311109435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00618048	0.1277500241397377	1.00746752	0.0	0.0
1	1	1	15.290001171460778	1e-16	1e-16	0.005095150321722031	0.0	-31.56189537893478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0066512	0.10374550817197853	1.00769664	0.0	0.0
1	1	1	15.300098441196312	1e-16	1e-16	0.005086568184196949	0.0	-31.560209585018445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00647488	0.11734148340594808	1.00765728	0.0	0.0
