Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef	KETEK-If	KETEK-FLUOR	KETEK-ROI_0[c/s]	KETEK-ROI_1[c/s]	KETEK-ROI_2[c/s]	KETEK-ROI_3[c/s]	KETEK-ROI_4[c/s]	KETEK-ROI_5[c/s]	KETEK-ROI_6[c/s]	KETEK-ROI_7[c/s]	KETEK-e-time[sec]	KETEK-DEADTIME[%]	KETEK-INT_TIME[sec]	KETEK-OCR	KETEK-ICR
1	1	1	15.249887510209811	1e-16	1e-16	0.0051115998066961765	0.0	-31.56511863785831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93486304	0.4480006433598705	0.93907008	0.0	0.0
1	1	1	15.260016336028675	1e-16	1e-16	0.005167147144675255	0.0	-31.575926935599448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0062288	0.11702114480605352	1.00740768	0.0	0.0
1	1	1	15.270016993479652	1e-16	1e-16	0.00500813452526927	0.0	-31.544669704434146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00650464	0.1187019004053696	1.0077008	0.0	0.0
1	1	1	15.280030879353738	1e-16	1e-16	0.005055099260061979	0.0	-31.554003697218462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00628896	0.10384628335772576	1.00733504	0.0	0.0
1	1	1	15.29002959559705	1e-16	1e-16	0.005136393941938877	0.0	-31.569957474459702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00656288	0.10391322864308433	1.00760992	0.0	0.0
1	1	1	15.300069979293438	1e-16	1e-16	0.005017432384192944	0.0	-31.54652453452472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00645632	0.12019837654387906	1.00766752	0.0	0.0
