Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,1,8.999916823668768,2.9030559887999994,4.9862228432,0.004913489599999821,-0.5409147064975356,6.9224495546667715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.01000474822608,2.9204000655999995,5.023570110399999,0.006466427199999814,-0.542420242644894,6.655272391501853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.019999087351156,2.9406714559999996,5.0728943552,0.0058294223999997286,-0.5452735917825425,6.768748890735832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.029996674234035,2.899540065599999,5.016908260799999,0.005403163199999739,-0.5482617333207456,6.833584578801215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.039997452781039,2.8763773599999993,5.0133756495999995,0.01027605919999992,-0.5555778292972147,6.190047909317247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.049991566946908,2.8301475472,4.9602999424,0.004518937599999972,-0.5611373640506697,7.000944568179547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.060008359027673,2.7929545248,4.9133470624,0.005663496000000023,-0.5648553873531108,6.765669301936913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.070008528929478,2.7897756992,4.912204888000001,0.008016027200000053,-0.5657617036518282,6.418035243133121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.080011618630227,2.7641133696,4.8881248192,0.005963403200000173,-0.5700888358240415,6.708922711541881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.089997793120284,2.7286821231999996,4.8556311376,0.005782934400000173,-0.5763203368538597,6.73298313420394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,9.100016415495617,2.719220504,4.843938332799999,0.0066910000000000025,-0.5773828351495578,6.584720034155429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,9.119992283625788,2.6616926768,4.7750710095999995,0.005246534399999803,-0.584446579868689,6.813596379578259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,9.139998218332183,2.5820434752,4.6853963728,0.004858657599999816,-0.5958693866819105,6.871443609980415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,9.159993831627423,2.5171080832,4.6107330688,0.006679795199999816,-0.6052762049494256,6.537054812046187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,9.179998554080408,2.4687143135999996,4.5547906016,0.007389988799999969,-0.6124820642343624,6.423808618131295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.000004023664596,2.9944554495999998,5.124797849599999,0.006545337599999357,-0.5373286850629219,6.663093379856877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.009995037161378,2.9776980751999997,5.1139661456,0.0055347600000001055,-0.540824712870498,6.828682331097047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.019999087351156,2.9871301328,5.1588377936,0.006037068799999545,-0.5463982156534153,6.750548003170007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.029996674234035,2.9575825983999997,5.1204396592,0.006105966399999474,-0.5488680613687204,6.731729193771042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.04000723026559,2.9274514607999995,5.0890125792,0.006952524799999793,-0.552951583519574,6.595734224245205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.050001366605565,2.8771812448,5.022691368,0.007794553599999787,-0.5571548386913453,6.468295964712875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.05999853714187,2.8224283935999996,4.961876719999999,0.005578863999999584,-0.5641863932698992,6.7905541476848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.069998684807175,2.8088055023999994,4.9435861952,0.005484219199999885,-0.5653317134143973,6.803971565527294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.080001752240417,2.7912068143999997,4.9336472992,0.0072152415999998,-0.5696044795319763,6.527638133330122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9.089997793120284,2.761308832,4.9018001584,0.007915422400000338,-0.5738977350969943,6.428544736963099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,9.100016415495617,2.7173049600000003,4.8454450208,0.006910089599999836,-0.5783985270945617,6.552811767254685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,9.120002239282135,2.6538819776,4.771985636799999,0.006015374399999729,-0.5867390290496424,6.676199181443723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,9.139998218332183,2.6019131615999997,4.725149096,0.006685993599999662,-0.5966521093359917,6.56063956336565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,9.159993831627423,2.5407690447999998,4.646016984000001,0.005914054400000169,-0.6035434812121787,6.666433949041395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,9.179998554080408,2.5184888959999996,4.610719003199999,0.006629016000000121,-0.6047247336138586,6.54468271292284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
