Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef
1	1	1	15.249944058160981	1e-16	1e-16	0.004887503571808338	0.0	-31.520287865038586
1	1	1	15.250933715776656	1e-16	1e-16	0.004979288205504417	0.0	-31.538893159121997
1	1	1	15.251980066128464	1e-16	1e-16	0.005057244561612606	0.0	-31.554427990858127
1	1	1	15.252998275737731	1e-16	1e-16	0.005014094524085522	0.0	-31.545859060512413
1	1	1	15.253988333206545	1e-16	1e-16	0.005030305590480566	0.0	-31.549086944763484
1	1	1	15.255006813274388	1e-16	1e-16	0.005016478709876537	0.0	-31.54633444427769
1	1	1	15.255997133741271	1e-16	1e-16	0.005049378145486116	0.0	-31.552871305119872
1	1	1	15.25698758389355	1e-16	1e-16	0.005124235060065985	0.0	-31.567587466234706
1	1	1	15.258006467944625	1e-16	1e-16	0.0050262524746358395	0.0	-31.54828088049419
1	1	1	15.25899718125101	1e-16	1e-16	0.005013379268348217	0.0	-31.54571640130366
