 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.526002e+01 1.000000e-16 1.000000e-16 5.167147e-03 0.000000e+00 -3.157593e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006229e+00 1.170211e-01 1.007408e+00 0.000000e+00 0.000000e+00
  1   1   1 1.527002e+01 1.000000e-16 1.000000e-16 5.008135e-03 0.000000e+00 -3.154467e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006505e+00 1.187019e-01 1.007701e+00 0.000000e+00 0.000000e+00
  1   1   1 1.528003e+01 1.000000e-16 1.000000e-16 5.055099e-03 0.000000e+00 -3.155400e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006289e+00 1.038463e-01 1.007335e+00 0.000000e+00 0.000000e+00
  1   1   1 1.529003e+01 1.000000e-16 1.000000e-16 5.136394e-03 0.000000e+00 -3.156996e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006563e+00 1.039132e-01 1.007610e+00 0.000000e+00 0.000000e+00
  1   1   1 1.530007e+01 1.000000e-16 1.000000e-16 5.017432e-03 0.000000e+00 -3.154652e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006456e+00 1.201984e-01 1.007668e+00 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
