Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,1,8.999945890141534,2.8267620288,1e-16,0.004483892800000078,37.88049338507514,-31.43409780662105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.009995037161378,2.8257338095999995,1e-16,0.0019044047999997814,37.880129574383105,-30.57777572773642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.019999087351156,2.8093407104,1e-16,0.0015170047999998105,37.87431132108874,-30.350344073423607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.029996674234035,2.8059528080000002,1e-16,0.0032618543999994643,37.87310465119696,-31.11590207693194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.039997452781039,2.7589734655999996,1e-16,0.0013074511999999316,37.85622016569602,-30.2016858020472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.050011166285977,2.7563813424,1e-16,0.0037107616000000123,37.85528019955383,-31.244843347493134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.05999853714187,2.7350969903999998,1e-16,0.0015406063999996889,37.847528385819,-30.365782314076117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.069998684807175,2.6970345231999997,1e-16,0.0022713023999994418,37.83351433257365,-30.75395962038061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.080001752240417,2.6738079263999994,1e-16,0.0023034863999999546,37.824865133937266,-30.76803001023994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,9.090007681786446,2.6344547616,1e-16,0.0017115392000000896,37.8100377268929,-30.47099929153394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
