Sample#	Scan#	Interval	ENERGY-RBK	IC1[V]	IC2[V]	IC3[V]	TRANS	TransRef	KETEK-If	KETEK-FLUOR	KETEK-ROI_0[c/s]	KETEK-ROI_1[c/s]	KETEK-ROI_2[c/s]	KETEK-ROI_3[c/s]	KETEK-ROI_4[c/s]	KETEK-ROI_5[c/s]	KETEK-ROI_6[c/s]	KETEK-ROI_7[c/s]	KETEK-e-time[sec]	KETEK-DEADTIME[%]	KETEK-INT_TIME[sec]	KETEK-OCR	KETEK-ICR
1	1	1	15.249887510209811	1e-16	1e-16	0.0050191013142466545	0.0	-31.546857105533643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99742208	0.42393267680739877	1.00166848	0.0	3.007753748543445
1	1	1	15.260016336028675	1e-16	1e-16	0.005051999818533659	0.0	-31.553390377491134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00655968	0.09639406784236229	1.00753088	0.0	0.0
1	1	1	15.270016993479652	1e-16	1e-16	0.005111361388117075	0.0	-31.56507199411691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00632352	0.10247818685400935	1.00735584	0.0	0.0
1	1	1	15.280002492696413	1e-16	1e-16	0.005121374502778053	0.0	-31.567029069519563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00666976	0.11674794889379483	1.0078464	0.0	0.0
1	1	1	15.290058019839908	1e-16	1e-16	0.005141400266438723	0.0	-31.570931676665797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0062416	0.10404157850929245	1.0072896	0.0	0.0
1	1	1	15.300098441196312	1e-16	1e-16	0.005107547156512737	0.0	-31.564325489387016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0066368	0.11656147768581286	1.00781152	0.0	0.0
