 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef
  1   1   1 1.525093e+01 1.000000e-16 1.000000e-16 4.979288e-03 0.000000e+00 -3.153889e+01
  1   1   1 1.525198e+01 1.000000e-16 1.000000e-16 5.057245e-03 0.000000e+00 -3.155443e+01
  1   1   1 1.525300e+01 1.000000e-16 1.000000e-16 5.014095e-03 0.000000e+00 -3.154586e+01
  1   1   1 1.525399e+01 1.000000e-16 1.000000e-16 5.030306e-03 0.000000e+00 -3.154909e+01
  1   1   1 1.525501e+01 1.000000e-16 1.000000e-16 5.016479e-03 0.000000e+00 -3.154633e+01
  1   1   1 1.525600e+01 1.000000e-16 1.000000e-16 5.049378e-03 0.000000e+00 -3.155287e+01
  1   1   1 1.525699e+01 1.000000e-16 1.000000e-16 5.124235e-03 0.000000e+00 -3.156759e+01
  1   1   1 1.525801e+01 1.000000e-16 1.000000e-16 5.026252e-03 0.000000e+00 -3.154828e+01
  1   1   1 1.525900e+01 1.000000e-16 1.000000e-16 5.013379e-03 0.000000e+00 -3.154572e+01
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
