 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.526002e+01 1.000000e-16 1.000000e-16 5.085138e-03 0.000000e+00 -3.155993e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006541e+00 1.025830e-01 1.007575e+00 0.000000e+00 1.987003e+00
  1   1   1 1.527005e+01 1.000000e-16 1.000000e-16 5.121136e-03 0.000000e+00 -3.156698e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006430e+00 1.180445e-01 1.007620e+00 0.000000e+00 0.000000e+00
  1   1   1 1.528003e+01 1.000000e-16 1.000000e-16 5.252494e-03 0.000000e+00 -3.159231e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006180e+00 1.277500e-01 1.007468e+00 0.000000e+00 0.000000e+00
  1   1   1 1.529000e+01 1.000000e-16 1.000000e-16 5.095150e-03 0.000000e+00 -3.156190e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006651e+00 1.037455e-01 1.007697e+00 0.000000e+00 0.000000e+00
  1   1   1 1.530010e+01 1.000000e-16 1.000000e-16 5.086568e-03 0.000000e+00 -3.156021e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006475e+00 1.173415e-01 1.007657e+00 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
