 #(1)Sample#   (2)Scan#   (3)Interval   (4)ENERGY-RBK   (5)IC1[V]   (6)IC2[V]   (7)IC3[V]   (8)TRANS   (9)TransRef   (10)KETEK-If   (11)KETEK-FLUOR   (12)KETEK-ROI_0[c/s]   (13)KETEK-ROI_1[c/s]   (14)KETEK-ROI_2[c/s]   (15)KETEK-ROI_3[c/s]   (16)KETEK-ROI_4[c/s]   (17)KETEK-ROI_5[c/s]   (18)KETEK-ROI_6[c/s]   (19)KETEK-ROI_7[c/s]   (20)KETEK-e-time[sec]   (21)KETEK-DEADTIME[%]   (22)KETEK-INT_TIME[sec]   (23)KETEK-OCR   (24)KETEK-ICR
  1   1   1 1.526002e+01 1.000000e-16 1.000000e-16 5.116845e-03 0.000000e+00 -3.156614e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006346e+00 1.037769e-01 1.007391e+00 0.000000e+00 0.000000e+00
  1   1   1 1.527005e+01 1.000000e-16 1.000000e-16 5.061775e-03 0.000000e+00 -3.155532e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006417e+00 1.028177e-01 1.007453e+00 0.000000e+00 0.000000e+00
  1   1   1 1.528003e+01 1.000000e-16 1.000000e-16 5.075363e-03 0.000000e+00 -3.155800e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006408e+00 1.183326e-01 1.007600e+00 0.000000e+00 0.000000e+00
  1   1   1 1.529003e+01 1.000000e-16 1.000000e-16 5.087045e-03 0.000000e+00 -3.156030e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006652e+00 1.022862e-01 1.007682e+00 0.000000e+00 0.000000e+00
  1   1   1 1.530007e+01 1.000000e-16 1.000000e-16 5.239621e-03 0.000000e+00 -3.158986e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.006398e+00 1.043745e-01 1.007450e+00 0.000000e+00 0.000000e+00
################### End of experiment, EOF ###################
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
