Sample#,Scan#,Interval,ENERGY-RBK,IC1[V],IC2[V],IC3[V],TRANS,TransRef,If,FLUOR,ROI_0[c/s],ROI_1[c/s],ROI_2[c/s],ROI_3[c/s],ROI_4[c/s],ROI_5[c/s],ROI_6[c/s],ROI_7[c/s],e-time[sec],DEADTIME[%],INT_TIME[sec],OCR,ICR
1,1,1,9.000013712659971,0,0,0,0,0,2777.5899765171807,0,27779.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00111616,2.0010982454182473,0.0,2779.2897867911574,2835.958678463025
1,1,1,9.010033881548964,0,0,0,0,0,2775.0355804237834,0,27765.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,10.00527712,1.805546391502652,0.0,2777.1344728130825,2828.1675636915434
1,1,1,9.02004775350316,0,0,0,0,0,2784.3849962659024,0,27864.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0072368,1.8541909590867165,0.0,2785.8839115309033,2838.4624700594773
1,1,1,9.030025940259337,0,0,0,0,0,2732.9550277273656,0,27345.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.00565312,1.8957730967191513,0.0,2735.853389248817,2788.680058706676
1,1,1,9.04004634042062,0,0,0,0,0,2755.464082276826,0,27570.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.00557408,1.9010043649589468,0.0,2757.9626895331526,2811.392334048494
1,1,1,9.05005036522517,0,0,0,0,0,2767.1188608900447,0,27686.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00535264,1.8807660936176624,0.0,2769.117790934753,2822.11170033854
1,1,1,9.06003782481605,0,0,0,0,0,2683.601425408847,0,26856.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.00744736,1.8918422769500278,0.0,2685.6998626271065,2737.4124004002792
1,1,1,9.070038061427796,0,0,0,0,0,2706.931327339039,0,27084.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0054256,1.9588476076420065,0.0,2708.630405487199,2762.68603641218
1,1,1,9.08005108440921,0,0,0,0,0,2694.4943477432685,0,26965.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.00744352,1.8474824227636533,0.0,2695.7933808054104,2746.4614930940115
1,1,1,9.090047236671575,0,0,0,0,0,2655.317695449692,0,26568.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0055824,1.650758480585793,0.0,2657.016746971171,2701.557689549289
